,category,state,product,elasticity,intercept,paired_product,cross_elasticity
118,SmallSUV,Florida,Chevrolet,-1.0277293545317892,10.418103872519474,Mazda,0.2896964786740638
155,SmallSUV,NewYork,Chevrolet,-0.9666187991988956,12.57248448528879,Mazda,0.2580967012754888
190,SmallSUV,Florida,Chevrolet,-1.0277293545317892,10.418103872519474,Volkswagen,0.1834914649263989
209,SmallSUV,NewYork,Chevrolet,-0.9666187991988956,12.57248448528879,Volkswagen,0.1480501330584054
0,Sedan,Florida,Honda,-0.4195282920245569,10.75551375900821,Hyundai,0.3477210508469024
18,Sedan,Florida,Honda,-0.4195282920245569,10.75551375900821,Toyota,0.3331968704607494
37,Sedan,NewYork,Honda,-0.5249548804193542,11.789472116237455,Hyundai,0.3335103756861752
55,Sedan,NewYork,Honda,-0.5249548804193542,11.789472116237455,Toyota,0.363011855756494
20,Sedan,Florida,Hyundai,-0.6451035188653836,12.902489406547025,Toyota,0.3608630853661039
57,Sedan,NewYork,Hyundai,-0.5872159596832714,12.144257221107814,Toyota,0.3546432264613344
74,Sedan,Florida,Hyundai,-0.6451035188653836,12.902489406547025,Honda,0.3648650834240688
93,Sedan,NewYork,Hyundai,-0.5872159596832714,12.144257221107814,Honda,0.3366898058542261
248,LargeSUV,Florida,Jeep,-1.0761802165212035,11.73219581296982,Porsche,0.063467778815994
285,LargeSUV,NewYork,Jeep,-0.7075057197388617,12.87003892973684,Porsche,0.0
302,LargeSUV,Florida,Jeep,-1.0761802165212035,11.73219581296982,Tesla,0.0568981263834284
321,LargeSUV,NewYork,Jeep,-0.7075057197388617,12.87003892973684,Tesla,0.0
134,SmallSUV,Florida,Mazda,-0.9446873823876252,9.255269024416702,Chevrolet,0.1808197270185619
171,SmallSUV,NewYork,Mazda,-1.018232454803909,11.52665759648826,Chevrolet,0.1616673291053995
188,SmallSUV,Florida,Mazda,-0.9446873823876252,9.255269024416702,Volkswagen,0.11257065080866
207,SmallSUV,NewYork,Mazda,-1.018232454803909,11.52665759648826,Volkswagen,0.1717776407424323
232,LargeSUV,Florida,Porsche,-1.353672818721461,10.481838824139476,Jeep,0.0
269,LargeSUV,NewYork,Porsche,-1.165206173227351,9.757885436337142,Jeep,0.0
304,LargeSUV,Florida,Porsche,-1.353672818721461,10.481838824139476,Tesla,0.0686380705005723
323,LargeSUV,NewYork,Porsche,-1.165206173227351,9.757885436337142,Tesla,0.0
228,LargeSUV,Florida,Tesla,-1.3284983466489322,9.77855483140787,Jeep,0.0
246,LargeSUV,Florida,Tesla,-1.3284983466489322,9.77855483140787,Porsche,0.0
265,LargeSUV,NewYork,Tesla,-1.1903072443339953,9.175215063148917,Jeep,0.0130202452084004
283,LargeSUV,NewYork,Tesla,-1.1903072443339953,9.175215063148917,Porsche,0.0468977865087422
4,Sedan,Florida,Toyota,-0.4516801157504289,10.801543751582267,Hyundai,0.3543737719345802
41,Sedan,NewYork,Toyota,-0.5120602025137172,12.707059955394406,Hyundai,0.3544719109754936
76,Sedan,Florida,Toyota,-0.4516801157504289,10.801543751582267,Honda,0.3523337161828145
95,Sedan,NewYork,Toyota,-0.5120602025137172,12.707059955394406,Honda,0.3674285755589638
114,SmallSUV,Florida,Volkswagen,-0.9900953953658176,12.29104645308332,Mazda,0.2407348137843137
132,SmallSUV,Florida,Volkswagen,-0.9900953953658176,12.29104645308332,Chevrolet,0.2040547441693335
151,SmallSUV,NewYork,Volkswagen,-1.079873598662193,9.908954887139108,Mazda,0.217347163921399
169,SmallSUV,NewYork,Volkswagen,-1.079873598662193,9.908954887139108,Chevrolet,0.2378772935503124
